Data da Partida;Heroi escolhido;Resultado;Monstro enfrentado;Quantidade de Rodadas
06/10/2023;Paladino;PERDEU;Morto Vivo;5
06/10/2023;Guerreiro;PERDEU;Kobold;3
06/10/2023;Guerreiro;GANHOU;Morto Vivo;4
06/10/2023;Bárbaro;PERDEU;Kobold;5
