Data da Partida;Heroi escolhido;Resultado;Monstro enfrentado;Quantidade de Rodadas
05/10/2023;Paladino;PERDEU;Kobold;5
05/10/2023;Paladino;PERDEU;Morto Vivo;5

05/10/2023;Bárbaro;PERDEU;Kobold;5

05/10/2023;Bárbaro;GANHOU;Kobold;3

05/10/2023;Bárbaro;PERDEU;Kobold;3

05/10/2023;Bárbaro;PERDEU;Morto Vivo;3

05/10/2023;Bárbaro;PERDEU;Kobold;3

05/10/2023;Guerreiro;PERDEU;Orc;5
05/10/2023;Paladino;PERDEU;Morto Vivo;5
06/10/2023;Paladino;PERDEU;Morto Vivo;3
