Data da Partida;Heroi escolhido;Resultado;Monstro enfrentado;Quantidade de Rodadas
05/10/2023;Bárbaro;GANHOU;Orc;3
05/10/2023;Bárbaro;PERDEU;Kobold;3

05/10/2023;Guerreiro;PERDEU;Kobold;3

05/10/2023;Paladino;PERDEU;Kobold;4
